feature,group,scope,n,wins,losses,net,expectancy,pf,win_rate,average_winner,average_loser,max_losing_streak,realized_balance_dd_pct,net_ex_top5
weekday,2,SELL,43,21,22,-0.28,-0.006511627906976399,0.9982649646796381,0.4883720930232558,7.671428571428571,-7.335454545454545,5,1.6603067004811356,-48.96
weekday,2,2026-06,21,11,10,19.11,0.9100000000000001,1.2582432432432433,0.5238095238095238,8.464545454545453,-7.4,4,0.5706687792226419,-29.31
weekday,2,2026-07,25,8,17,-99.54,-3.9816,0.3541396314560083,0.32,6.8225,-9.065882352941175,5,2.2659098988269037,-137.42
weekday,2,2026-08,21,13,8,38.48,1.8323809523809527,1.6744960560911482,0.6190476190476191,7.348461538461537,-7.13125,3,0.5772600762807936,-6.23
weekday,3,ALL,71,35,36,-3.67,-0.05169014084507043,0.9859268348799756,0.49295774647887325,7.346,-7.243888888888888,5,0.9352000000000225,-50.4
weekday,3,BUY,33,14,19,-32.16,-0.9745454545454545,0.7669396333067614,0.42424242424242425,7.559285714285714,-7.262631578947369,4,0.7021829033553908,-77.79
weekday,3,SELL,38,21,17,28.49,0.7497368421052633,1.2320221516410133,0.5526315789473685,7.203809523809523,-7.222941176470588,3,0.6248000000000138,-16.57
weekday,3,2026-06,18,7,11,-31.51,-1.7505555555555554,0.6269681543743341,0.3888888888888889,7.565714285714286,-7.679090909090909,3,0.9352000000000225,-72.68
weekday,3,2026-07,29,16,13,18.99,0.6548275862068967,1.1886548778064774,0.5517241379310345,7.478125,-7.743076923076923,3,0.4455523474192552,-26.29
weekday,3,2026-08,24,12,12,8.85,0.3687500000000002,1.1169861202908131,0.5,7.041666666666667,-6.304166666666667,5,0.7481346443122874,-33.26
weekday,4,ALL,72,37,35,74.39,1.0331944444444447,1.288702604106027,0.5138888888888888,8.974594594594596,-7.362,4,1.2957770831164026,-19.53
weekday,4,BUY,38,19,19,49.76,1.3094736842105261,1.332620320855615,0.5,10.492631578947368,-7.873684210526317,5,1.0959619022767404,-44.16
weekday,4,SELL,34,18,16,24.63,0.7244117647058828,1.2279078375127233,0.5294117647058824,7.372222222222222,-6.754375,4,1.001811429766672,-20.47
weekday,4,2026-06,17,11,6,89.61,5.2711764705882365,2.9895648312611014,0.6470588235294118,12.240909090909089,-7.506666666666667,1,0.19511370826080185,-2.14
weekday,4,2026-07,34,13,21,-65.95,-1.939705882352941,0.6010284331518453,0.38235294117647056,7.642307692307693,-7.871428571428572,4,1.3190000000000146,-112.74
